Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Radio|RPP|Ampliación de Noticias|Mesías Guevara dialoga sobre elecciones internas en Acción Popular (RPP)|Entrevista. El presidente de Acción Popular, Mesías Guevara, señaló que el mensaje dado por los candidatos que participaron en la CADE ha sido dirigido al tema macroeconómico y muy poco se habló de la microeconomía. En otro momento, indicó que su partido ha tomado decisión de ir solos en las próximas elecciones. Recalcó que la organización del proceso electoral en Acción Popular estará a cargo de la ONPE. Informó que los precandidatos de su partido son: Alfredo Barnechea, Beatriz Mejía, Jano Montoya y su persona. Mesías Guevara sostuvo que son distintos a Keiko Fujimori, Alan García, Alejandro Toledo, César Acuña y Pedro Pablo Kuczynski.|09/12/2015|5863||533||Mesias Antonio Guevara Amasifuén|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|La República|La República|Paco Belaunde apoya a Alfredo Barrenechea|Francisco Belaunde, hermano deI ex presidente Fernando Belaúnde Terry, apoyó a Alfredo Barnechea, precandidato de Acción Popular que tienta mañana la posibilidad de representar al partido el 2016.|12/12/2015|297.12|61.4|0|10|Francisco Belaunde Matossian|Alfredo Barnechea García|Positivo|2015-12
Web|Exitosa|exitosadiario.pe|Diez Canseco: ""Falta de experiencia podría jugarle mala pasada a Keiko""|Entrevista. Raúl Diez Canseco, ex vicepresidente. (...) ¿Qué valora más en la candidatura de PPK?.A él le sobra experiencia además de ser un hombre honrado. Fue ministro de Belaunde y no creo que tenga problemas por la edad ya que en el mundo la esperanza de vida es de 88 años.. .¿Y César Acuña de Alianza para el Progreso?.Es una revelación porque es alguien que vino de abajo. Sin embargo, tiene que convencer y mostrar un buen equipo. Estas elecciones serán diferentes a las del pasado porque hay tres millones de electores nuevos que quieren conocer propuestas.|09/12/2015|71.5||0||Raúl Diez Canseco Terry|Alfredo Barnechea García|Positivo|2015-12
Radio|Radio Nacional|Nacional en la Noticia|Entrevista al parlamentario Yonhy Lescano (Nacional)|Entrevista. El congresista de Acción Popular, Yonhy Lescano, señaló que la política se está desnaturalizando por culpa de los intereses personales, en referencia a algunas planchas presidenciales formadas de cara a las elecciones del 2016. En ese sentido, destacó que su partido no ha suscrito alguna alianza electoral y agregó que como militante impulsará la campaña de Alfredo Barnechea, candidato a la presidencia por el acciopopoulismo. De otro lado, Lescano analizó las coaliciones políticas y criticó la poca consistencia de la unión entre el APRA y el Partido Popular Cristiano. Asimismo, refirió a la plancha presidencial del partido Fuerza Popular, en esa línea, instó a la población a analizar bien por quien votarán para evitar los errores pasados. Lescano añadió que Acción Popular ya eligió a la lista parlamentaria para el 2016, remarcando que la ONPE ha supervisado la validez de los comicios internos.|21/12/2015|1694.94||1599||Yonhy Lescano Ancieta|Alfredo Barnechea García|Positivo|2015-12
Medio Impreso|Correo|Correo|¿Usted entiende esto? - Juan Carlos Valdivia|Daniel Urresti era militar en actividad cuando fueron presidentes Alan García y Alberto Fujimori. Es durante el gobierno de García que a Urresti se le acusó de asesinar al periodista Hugo Bustíos. La señora Villarán -quien en su momento fue secretaria de la Comisión Nacional de Derechos Humanos- dice ser periodista, ha sido alcaldesa de Lima y ahora es candidata con Urresti. Villarán compartía asesoras con Nadine Heredia –jefa del partido de Urresti y Villarán-, las que almorzaban en Palacio y tomaban café en el Palacio Municipal. Con Nadine trabajaron por un tiempo Verónica Mendoza y Sergio Tejada que se han reunido con Marisa Glave y otros exregidores de Villarán para impulsar un proyecto de izquierda. De Villarán también fue socio Vladimiro Huaroc en Fuerza Social (fundada por el primero, pero que se la quedo la segunda). Hoy Huaroc es candidato a la vicepresidencia por el fujimorismo. Huaroc ha sido funcionario de este gobierno en la PCM, donde compartió labores con Julio Guzmán, también exfuncionario de este gobierno y autodenominado “outsider”. Otra socia de Villarán ha sido Anel Townsend, quien ahora es candidata con Acuña; PPK ha sido premier de Toledo.|23/12/2015|1252.88|131.5|0|11|Juan Carlos Valdivia|Alfredo Barnechea García|Neutro|2015-12
Web|Andina|andina.com.pe|Acuña: No hemos conversado con Susana Villarán sobre su incorporación|El candidato presidencial de Alianza para el Progreso, César Acuña, descartó hoy una eventual incorporación de la exalcaldesa de Lima, Susana Villarán a su agrupación política las elecciones generales de 2016...""Susana Villarán es una mujer que tiene toda nuestra estima y respeto pero no hemos conversado sobre su eventual incorporación, o sea esos son solo rumores que no corresponden"", precisó...(...) Hoy, la exburgomaestre que renunció a su partido Fuerza Social, indicó que participará en las elecciones de 2016, aún cuando había señalado, tras superar la revocatoria, que no se presentaría a ningún cargo de elección popular...A través de sus redes sociales, reveló que cambió de decisión ante la posibilidad de que el fujimorismo vuelva a ser gobierno...En ese proceso, indicó, que había conversado con César Acuña, con Pedro Pablo Kuczynski, Alfredo Barnechea, Ántero Flores-Aráoz, Yehude Simon, con Julio Guzmán y líderes y lideresas de izquierda.|13/12/2015|98.6||0||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|El Chino|El Chino|Villarán dice que conversa con Acuña y PPK|La exalcaldesa de Lima Susana Villarán aseguró que ""participará en las elecciones"" del próximo año para ""evitar que el fujimontesinismo, ahora encarnado en Keiko Fujimori, regrese al poder"", Villarán informó que ha conversado con César Acuña y Pedro Pablo Kuczynski (PPK), entre otros candidatos presidenciales, pero aún no ha tomado una decisión, ""Con qué agrupación iré? Algunos de mis interlocutores en estas conversaciones me han invitado a acompañarlos"", agregó,|13/12/2015|465.01|98.43|0|5|Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|El voto inesperado - César Lévano|La encuestadora lmasen halló una sorpresa en su sondeo llevado a cabo entre el 26 de noviembre y el 1 de diciembre. A la pregunta: ¿usted votaría por alguien de izquierda para la presidencia de la República?"", 7.2 por ciento respondió: ""definitivamente sí"", y 19.5 declaró: ""probablemente sí"". En suma, un potencial 26.7 por ciento (...) Por lo demás, Imasen confirma en sus puestos a los candidatos favoritos de la Conferencia Anual de Empresarios (CADE). Keiko Fujimori está en la punta, con 33.2 por ciento. Le siguen PPK, con 15.4; César Acuña, con 10.9 y Alan García, con 8.6. Alejandro Toledo obtuvo 4.6 y Verónika Mendoza 2.0. En la lista que, bajo el rubro de otros, cosecha colectivamente 2.8 por ciento figuran Ántero Flores-Aráoz, Romulo Mucho, Miguel Hilario, Renzo Reggiardo, Julio Guzmán, Alfredo Barnechea, José Luna, Gonzalo García, Nono Guerra Garcia, Ricardo Belmont y Hernando de Soto|04/12/2015|2339.75|245.78|0|2|César Lévano|Alfredo Barnechea García|Neutro|2015-12
Web|Perú 21|peru21.pe|Apuntes electorales antes del CADE - Alfredo Ferrero|Las encuestas son foto de hoy y están lejos de definir aún el resultado de abril 10. A partir de esa fecha solo quedarán 2 y es otro partido donde las alianzas con los perdedores y el endose electoral tienen importancia. Keiko es la favorita pero todavía hay tela que cortar, aún no muestra planes ni equipo técnico. Alan debe subir su porcentaje actual, acostumbrado a venir de atrás, ha tenido un traspié con el Plan Bicentenario; Verónika Mendoza debe mejorar ese magro 2% y veremos si “las izquierdas se unen”; ¿Acuña seguirá subiendo y pasará al segundo lugar?; Toledo, en su alianza con el nacionalismo, ¿cuánto suma? o con Acción Popular, que parece va con Barnechea como presidente; PPK llegará al 20%, parece estancado y otros dicen que está bajando.|06/12/2015|1874.83|138.4|0||Alfredo Ferrero Diez-Canseco|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Correo|Correo|Cuestión de edad|Después de que cuestionara a PPK por su avanzada edad, ""Vitocho"" García Belaunde le tiró flores a Barnechea, precandidato de AP, de quien dijo, con sus 60 años, es ""relativamente joven"".|03/12/2015|162.58|17.42|0|4|Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Radio|Radio Nacional|Nacional en la Noticia|Entrevista a congresista Víctor Andrés García (Nacional)|Entrevista. Tras conocerse que el asesor brasileño, Julio Favre, forma parte de la campaña del líder de Alianza Para el Progreso, César Acuña, los conductores de “Nacional en la Noticia”, criticaron las excesivas inversiones en proselitismo, asimismo, refirieron al posicionamiento de la campaña de APP, el cual no está relacionado a un buen discurso, si no a enfocarse en los gustos del pueblo. En ese sentido, el congresista Víctor Andrés García Belaunde consideró que las encuestas están despuntando a Acuña puesto que el resto de candidatos no cumplen con los requisitos necesarios, no obstante, destacó la posición de Keiko Fujimori quien difícilmente será superada en las encuestas, asimismo, agregó que el candidato de Acción Popular, -probablemente Alfredo Barnechea-, llegará a modificar el actual panorama electoral.|09/12/2015|1301.68||1228||Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Televisión|Willax|Desayunos de Correo |Entrevista al congresista Víctor Andrés García Belaunde (Willax)|Entrevista. El congresista Víctor Andrés García Belaunde, presidente de la Subcomisión de Acusaciones Constitucionales, se pronunció sobre el proceso que se le sigue al expresidente Alan García, así como de los exfiscales José Peláez y Carlos Ramos Heredia. De otro lado, comentó que no será candidato presidencial por Acción Popular. Adelantó que el candidato podría ser Alfredo Barnechea de quien dijo dejará en alto el nombre del partido y se lucirá en debates con Keiko Fujimori o con César Acuña de realizarse estos.|01/12/2015|8440||1055||Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Medio Impreso|La República|La República|Perú Wars: El Despertar a la Fuerza - Marco Sifuentes|¿Ya pasaron las náuseas, Perú? ¿O todavía seguimos contemplando con estupor ese chocolateo de lealtades, ese festival de traiciones, esa radiografía del subdesarrollo también conocida como la lista de las 17 planchas de candidatos a la presidencia y vicepresidencia de nuestro país? Más allá del gravol, veamos algunas conclusiones en borrador. –Algo inédito: hasta los pitufos son parte del elenco estable. No hay (casi) pitufos desconocidos. Belmont, Yehude, Nano, Ántero, Goyo, Barnechea o Urresti son personajes que tranquilamente podrían obtener 2%. No les serviría, por supuesto, para pasar la valla del 5%. Así, la mayor amenaza para Keiko Fujimori, en la primera vuelta, no se encuentra en ninguno de los otros 16 candidatos. Estos saben que 1) no tienen forma de desplazarla y 2) les convendría más jugar a ser el mal menor ante Keiko en la segunda vuelta.|23/12/2015|2452.21|292.79|0|5|Marcos Sifuentes|Alfredo Barnechea García|Neutro|2015-12
Web|La República|larepublica.pe|Conmigo esto no sucedía - Augusto Álvarez Rodrich|La gente no vota el 24 de diciembre sino el 10 de abril. Alfredo Barnechea sobre las encuestas.|28/12/2015|1014.43||0||Augusto Álvarez Rodrich|Alfredo Barnechea García|Neutro|2015-12
Televisión|TV Perú 7.3|Desde la radio |Entrevista al congresista Mesías Guevara Amasifuén (TV Perú 7.3)|Entrevista. El congresista Mesías Guevara Amasifuén, precandidato presidencial por Acción Popular (AP), exigió a los postulantes al Sillón de Pizarro a informar a la población cuáles son sus propuestas para combatir la impunidad. Indicó que esto es importante al considerar que la impunidad es la madre de la corrupción, flagelo que “engendra a la pobreza, inseguridad ciudadana y todos los males habidos y por haber”. En “Desde la radio”, destacó que todos los proyectos de ley que presentó durante su labor parlamentaria estuvieron inspirados en las enseñanzas legadas por sus líderes políticos Fernando Belaunde Terry y Valentín Paniagua Corazao. Más adelante, informó que la Oficina Nacional de Procesos Electores supervisará las elecciones internas de AP este domingo 20 de diciembre. Finalmente, sostuvo que él no tiene tanta plata como César Acuña Peralta para llevar con holgura una campaña electoral. “Tengo dinero para vivir con dignidad, pero no para comprar conciencias”, sentenció Guevara. .|17/12/2015|0||1120||Mesias Antonio Guevara Amasifuén|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|""Vitocho"" cree que AP pasará la valla electoral|El congresista Victor García Belaunde aseguró que la eventual elección de Alfredo Barnechea como candidato presidencial por Acción Popular (AP) garantizaría que su agrupación política supere la valla electoral en las elecciones de 2016.|02/12/2015|1222.4|128.01|0|6|Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Medio Impreso|La Razón|La Razón|Optimista|Vitocho aseguró que la eventual elección de Alfredo Barnechea como candidato presidencial por AP garantizaría que superen la valla electoral.|02/12/2015|164.92|28.05|0|4|Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Televisión|Canal N|N Noticias|Susana Villarán anunció que participará en las próximas elecciones (Canal N)|La exalcaldesa Susana Villarán anunció a través de su cuenta de Facebook que hará todo lo que esté en sus manos para evitar que el fujimorismo regrese al gobierno. Aseveró que seguirá conversando con líderes políticos para unir esfuerzos a fin de evitar que el fujimorismo regrese, ahora encarnado en Keiko Fujimori. Reveló que ha dialogado con César Acuña, Pedro Pablo Kuczynski, Alfredo Barnechea, Ántero Flores-Aráoz entre otros. Señaló que ha tomado la decisión de participar en las próximas elecciones. Mediante un enlace telefónico, Marco Tulio Gutiérrez sostuvo que esta es la segunda vez que Villarán incumple su palabra.|12/12/2015|9114||651||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Web|Perú 21|peru21.pe|Víctor Andrés García Belaunde: ""Con Acción Popular no habrá un ministro como Alonso Segura""|El congresista y candidato a la primera vicepresidencia por Acción Popular, Víctor Andrés García Belaunde, está convencido de que, cuando se produzcan los debates previos a los comicios generales del 2016, su candidato, Alfredo Barnechea, superará “largamente” a sus rivales a Palacio de Gobierno.|29/12/2015|1874.83||0||Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Web|Capital|capital.com.pe|Susana Villarán participará en las elecciones 2016|La exalcaldesa de Lima Susana Villarán anunció su participación en las elecciones generales del 2016, con el objetivo de evitar que el fujimorismo regrese al poder. (...) Villarán adelantó que aún evalúa con qué partido participará en los comicios del próximo año, pero admite haberse reunido con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea.|12/12/2015|54.41||0||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Web|Publimetro|publimetro.pe|Susana Villarán anuncia que participará en las elecciones 2016|En un comunicado difundido en su cuenta de Facebook, defendió su decisión ante la posibilidad de que el fujimorismo vuelva a ser gobierno. (...)“Lo he hecho hasta hoy con César Acuña, con PPK, con Alfredo Barnechea, con Ántero Flores-Aráoz, con Yehude Simon, con muchos líderes y lideresas de base de las izquierdas. Hoy lo haré con Julio Guzmán. Persistiré en ello”, agregó.|12/12/2015|133.02||0||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Televisión|Canal N|N Portada|Congresistas García Belaunde y Galarreta opinaron sobre movidas internas en Perú Posible y el Nacionalismo (Canal N)|El congresista Daniel Mora dijo que Alejandro Toledo no es el candidato idóneo para Perú Posible en las elecciones del 2016. .El congresista de Acción Popular Víctor Andrés García Belaunde señaló que los partidos políticos deben tener elecciones internas con más de un candidato. Respecto al proceso interno en Acción Popular, el legislador dijo ver a Alfredo Barnechea con mejores posibilidades de ser elegido candidato presidencial. .A su turno, el parlamentario Luis Galarreta comentó que Daniel Mora no ha dicho nada nuevo (sobre Toledo) pero también ha tenido la intención de ser el candidato de su partido a partir de haber logrado posicionamiento por el tema de la Ley Universitaria. Durante el diálogo, Galarreta mencionó la alianza que en la elección del 2006 reunió al PPC con Yehude Simon y César Acuña. .Sobre la candidatura de Milton von Hesse en el Partido Nacionalista, el congresista García Belaunde opinó que esa candidatura “nació muerta” y que mejor papel harían Daniel Abugattás o Ana Jara.|01/12/2015|11480||820||Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Web|La República|larepublica.pe|Perú Wars: El Despertar a la Fuerza - Marco Sifuentes|–Alfredo Barnechea tiene suficientes contactos en los medios como para obtener valiosos minutos de exposición en televisión. Si hay un nicho de votantes que busca a alguien que “hable bonito” pero no quiere votar por el candidato de los narcoindultos, aquí tiene a su hombre. La verdad, si lo pusieran a debatir con gente como Acuña, Barnechea quedaría como Churchill. Con un equipo de campaña sólido, también podría pasar la valla.|23/12/2015|1014.43||0||Marcos Sifuentes|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Expreso|Expreso|Campaña se pone caliente con ""jales"" y denuncias|La abrupta caída de Pedro Pablo Kuczynski en las preferencias de los electores, según una reciente encuesta, ha hecho que el expremier ponga las barbas en remojo y busque asegurar cuanto antes la participación de dos figuras femeninas que le aseguren el éxito de su campaña y lo consoliden como el contendor de Keiko Fujimori en una eventual segunda vuelta, que se realizaría el 5 de junio próximo. Apra pide al JNE intervenir ante ’utilización"" de Universidad César Vallejo con fines políticos por parte de César Acuña. Por su parte, el presidente del Tribunal Electoral del Apra, Jorge Villasante, exhortó al Jurado Nacional de Elecciones a intervenir frente a la ""utilización"" de la universidad César Vallejo con fines electorales por parte del candidato de Alianza para el Progreso (APP), César Acuña, propietario de dicho centro de estudios.|02/12/2015|11183.42|1823.88|0|2|Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""Falta de experiencia podría jugarle mala pasada a Keiko""|Entrevista a Raúl Diez Canseco - Exvicepresidente , Militante acciopopulista, evalúa a cinco postulantes a la presidencia. ¿Keiko Fujimori carga con los pasivos del gobierno de su padre? Ella está marcando distancia, no se le puede echar la culpa de eso. Se le cuestiona la falta de experiencia ¿ Concuerda con esas críticas? Es una persona joven con mucha fuerza, pero el terna de la experiencia podría jugarle una mala pasada porque estamos en un mundo donde hay convulsión y será complicado para ella enfrentar problemas. ¿Qué valora más en la Candidatura de PPK? A él le sobra experiencia además de ser un hombre honrado. Fue ministro de Belaunde y no creo que tenga problemas por la edad ya que en el mundo la esperanza de vida es de 88 años. ¿Y César Acuña de Alianza para el progreso? Es una revelación porque es alguien que vino de abajo, sin embargo tiene que convencer y mostrar un buen equipo. Estas elecciones será diferentes a las del pasado porque hay tres millones de electores nuevos que quieren conocer propuestas.|09/12/2015|2227.84|298.04|0|4|Raúl Diez Canseco Terry|Alfredo Barnechea García|Neutro|2015-12
Web|La República|larepublica.pe|¿Quién dijo que todo está perdido? - Rocío Silva Santisteban|Sin embargo, y a pesar de las candidaturas autoritarias o narcopolíticas, hay una cuota de honestidad más que de cálculo político en algunas candidaturas menores (también las hay “menores monstruosas” dicho sea de paso). Discrepo de varias de ellas y apoyo la de una congresista honesta, pero asimismo y para mi sorpresa coincido con algunas ideas que ha propuesto Alfredo Barnechea en el suplemento Domingo de este mismo diario. Barnechea ha dicho que esta contienda electoral será sobre dos maneras de entender el desarrollo: “un crecimiento fujimorista o autoritario” basado en cuatro ejes: 1) reblandecimiento del Estado; 2) erosión del sector público; 3) idolatría del mercado y 4) privatización sin regulación, ejes a los que se adscriben los cuatro candidatos que están arriba en las encuestas; y un crecimiento “de políticas desarrollistas” que él califica como belaundista.|29/12/2015|1014.43||0||Rocío Silva Santisteban|Alfredo Barnechea García|Neutro|2015-12
